dataset,ratio,method,method_type,alpha,run,n_samples,in_degree,out_degree,wcc,scc,hop_plot,hop_plot_wcc,singular_vec,singular_val,clustering,AVG,experiment_type,S_AVG_ALL,T_AVG,COMBINED_AVG,Snapshot_1_in_degree,Snapshot_1_out_degree,Snapshot_1_wcc,Snapshot_1_scc,Snapshot_1_hop_plot,Snapshot_1_hop_plot_wcc,Snapshot_1_singular_vec,Snapshot_1_singular_val,Snapshot_1_clustering,Snapshot_1_AVG,Snapshot_2_in_degree,Snapshot_2_out_degree,Snapshot_2_wcc,Snapshot_2_scc,Snapshot_2_hop_plot,Snapshot_2_hop_plot_wcc,Snapshot_2_singular_vec,Snapshot_2_singular_val,Snapshot_2_clustering,Snapshot_2_AVG,Snapshot_3_in_degree,Snapshot_3_out_degree,Snapshot_3_wcc,Snapshot_3_scc,Snapshot_3_hop_plot,Snapshot_3_hop_plot_wcc,Snapshot_3_singular_vec,Snapshot_3_singular_val,Snapshot_3_clustering,Snapshot_3_AVG,Snapshot_4_in_degree,Snapshot_4_out_degree,Snapshot_4_wcc,Snapshot_4_scc,Snapshot_4_hop_plot,Snapshot_4_hop_plot_wcc,Snapshot_4_singular_vec,Snapshot_4_singular_val,Snapshot_4_clustering,Snapshot_4_AVG,T_T1_dpl,T_T2_diameter,T_T3_cc_size,T_T4_singular,T_T5_clustering,T_T_AVG
cit-HepTh,0.1,HYB-RDN-FF(α=0.3),hybrid,0.3,0.0,2777.0,0.0753751745964088,0.08739243536701047,0.9215784215784216,0.0010826283200612297,0.09523809523809523,0.10084033613445378,0.356190550385178,0.92,0.3747224442668088,0.325824453987382,scale_down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cit-HepTh,0.1,HYB-RDN-FF(α=0.3),hybrid,0.3,1.0,2777.0,0.02799403902072628,0.041187201873303825,0.9198362612996759,0.001839450610820692,0.13109243697478992,0.11764705882352941,0.25260540871714854,0.94,0.37407407407407406,0.31180843682156323,scale_down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cit-HepTh,0.1,HYB-RDN-FF(α=0.5),hybrid,0.5,0.0,2777.0,0.06953272201984673,0.09589576735139693,0.8853146853146853,0.0015262838407402723,0.11428571428571428,0.11397058823529412,0.2354416862152272,0.94,0.3759820426487093,0.3146610544346238,scale_down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cit-HepTh,0.1,HYB-RDN-FF(α=0.5),hybrid,0.5,1.0,2777.0,0.03671594313770876,0.05203595857861465,0.9317825032110746,0.0007891683918856973,0.16302521008403362,0.17647058823529413,0.35132809949431754,0.92,0.3501001001001001,0.3313608412481144,scale_down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cit-HepTh,0.1,HYB-RDN-FF(α=0.7),hybrid,0.7,0.0,2777.0,0.026843290707979806,0.10437566798384823,0.856102231102231,0.001621682973472649,0.09523809523809523,0.09926470588235294,0.36537530508542393,0.96,0.29167881792553707,0.3111666440998823,scale_down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cit-HepTh,0.1,HYB-RDN-FF(α=0.7),hybrid,0.7,1.0,2777.0,0.055560701731503515,0.11491638540632187,0.9014039395718785,0.000800362147927447,0.11428571428571428,0.1092436974789916,0.29323922989787665,0.94,0.3769414575866189,0.3229323875674258,scale_down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cit-HepTh,0.15,RN,baseline,,0.0,4165.0,0.36161577412920054,0.5173820981552222,0.8563949711490695,0.00472231247424959,0.14107142857142857,0.13970588235294118,0.37277486435697793,1.0,0.14814814814814814,0.393535053259693,scale_down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cit-HepTh,0.15,RN,baseline,,1.0,4165.0,0.3491910710628712,0.5101872524713382,0.8388013855303575,0.0025510305685552126,0.11904761904761904,0.11764705882352941,0.3674820738522272,1.0,0.14049382716049383,0.38282236872411013,scale_down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cit-HepTh,0.15,RPN,baseline,,0.0,4165.0,0.13402903811252265,0.17934248048459567,0.8581522212227607,0.0008586684147728896,0.10892857142857143,0.13157894736842105,0.18065125942346688,0.94,0.3077160493827161,0.31569524842642527,scale_down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cit-HepTh,0.15,RPN,baseline,,1.0,4165.0,0.14341221128556536,0.1931499130406671,0.8696184110548751,0.0008360825769279101,0.11607142857142858,0.15441176470588236,0.1896305227168289,0.96,0.2955840455840456,0.32474604217069125,scale_down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
